book_reference,author_names,avg_rating,num_ratings,year_published ,book_title,book_isbn,book_review_count,genre_abuse,genre_adult,genre_adult-fiction,genre_adventure,genre_animals,genre_art,genre_art-design,genre_atheism,genre_audiobook,genre_autobiography,genre_biography,genre_biography-memoir,genre_biology,genre_books-about-books,genre_brain,genre_buddhism,genre_buisness,genre_business,genre_chess,genre_chick-lit,genre_childrens,genre_china,genre_christian,genre_christian-living,genre_christian-non-fiction,genre_christianity,genre_classics,genre_college,genre_comedy,genre_comics,genre_communication,genre_contemporary,genre_cookbooks,genre_cooking,genre_counselling,genre_crafts,genre_crime,genre_cultural,genre_death,genre_denmark,genre_design,genre_diets,genre_eastern-philosophy,genre_economics,genre_education,genre_entrepreneurship,genre_essays,genre_faith,genre_family,genre_fantasy,genre_fashion,genre_feminism,genre_fiction,genre_finance,genre_fitness,genre_food,genre_gender,genre_gender-studies,genre_german-literature,genre_graphic-novels,genre_graphic-novels-comics,genre_health,genre_history,genre_holocaust,genre_horror,genre_how-to,genre_humor,genre_indian-literature,genre_inspirational,genre_japan,genre_japanese-literature,genre_journaling,genre_law,genre_leadership,genre_lgbt,genre_literature,genre_love,genre_magic,genre_management,genre_manga,genre_marriage,genre_mathematics,genre_medical,genre_medicine,genre_memoir,genre_mental-health,genre_mental-illness,genre_metaphysics,genre_military-fiction,genre_money,genre_music,genre_mythology,genre_neuroscience,genre_new-age,genre_non-fiction,genre_novels,genre_nutrition,genre_parenting,genre_personal-development,genre_personal-finance,genre_philosophy,genre_poetry,genre_politics,genre_productivity,genre_psychoanalysis,genre_psychology,genre_queer,genre_race,genre_read-for-school,genre_reference,genre_relationships,genre_religion,genre_romance,genre_school,genre_science,genre_self-help,genre_sexuality,genre_short-stories,genre_social,genre_social-justice,genre_social-science,genre_social-work,genre_sociology,genre_spirituality,genre_sweden,genre_taoism,genre_teaching,genre_technology,genre_teen,genre_travel,genre_true-crime,genre_unfinished,genre_vegan,genre_war,genre_womens,genre_writing,genre_zen
/book/show/7015403-the-gifts-of-imperfection,Bren\xc3\xa9 Brown,4.2,106881,2010.0,The Gifts of Imperfection,9781592858491,6655,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,2183,0,0,0,473,0,85,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/13588356-daring-greatly,Bren\xc3\xa9 Brown,4.27,126380,2012.0,Daring Greatly,9781592407330,8775,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3011,0,0,288,575,0,0,0,0,0,0,1209,0,0,0,0,119,0,0,0,0,1864,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/23878688-the-5-love-languages,Gary Chapman,4.25,293246,1990.0,The 5 Love Languages,null,11904,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,771,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,0,0,0,301,0,0,0,0,0,0,839,0,0,0,0,1057,0,0,0,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/4894.Who_Moved_My_Cheese_,Spencer Johnson,3.82,363524,1998.0,Who Moved My Cheese?,9780091883768,12077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,370,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059,0,0,0,309,0,191,0,0,0,0,514,0,0,0,0,0,0,0,0,0,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/30186948-think-and-grow-rich,Napoleon Hill,4.18,213504,1937.0,Think and Grow Rich,null,6697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,1163,0,0,0,668,210,140,0,0,0,0,312,0,0,0,0,0,0,0,0,0,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/52529.The_Secret,Rhonda Byrne,3.68,344937,2006.0,"The Secret (The Secret, #1)",null,12429,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1478,0,0,0,231,0,258,0,0,0,0,328,0,0,0,0,0,0,0,0,0,1648,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/6398634-the-happiness-project,Gretchen Rubin,3.62,143658,2009.0,The Happiness Project,9780061583254,12652,0,108,0,0,0,0,0,0,177,0,142,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,3241,0,0,0,310,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/24453082-big-magic,Elizabeth Gilbert,3.92,147505,2015.0,Big Magic,9781594634710,11885,0,0,0,0,0,254,0,0,471,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,2923,0,0,0,371,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0
/book/show/1633.Getting_Things_Done,David    Allen,3.99,126786,2001.0,Getting Things Done,9780142000281,5032,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,0,0,0,520,0,0,0,0,1390,0,203,0,0,0,150,0,0,0,0,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/25744928-deep-work,Cal Newport,4.2,71340,2016.0,Deep Work,9781455586691,6420,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936,0,0,0,488,0,0,0,0,987,0,569,0,0,0,0,0,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
/book/show/69571.Rich_Dad_Poor_Dad,Robert T. Kiyosaki,4.08,362004,1997.0,"Rich Dad, Poor Dad",9780751532715,13895,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,135,0,0,0,0,0,0,0,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,1980,0,0,0,371,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/368593.The_4_Hour_Workweek,Timothy Ferriss,3.89,176559,2007.0,The 4-Hour Workweek,9780307353139,6573,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,128,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765,0,0,0,548,0,0,0,0,565,0,141,0,0,0,0,0,0,0,0,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/4866.How_to_Stop_Worrying_and_Start_Living,Dale Carnegie,4.14,77278,1944.0,How to Stop Worrying and Start Living,9780671035976,2660,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,250,0,67,0,0,0,0,417,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/35542451-girl-wash-your-face,Rachel Hollis,3.71,175163,2018.0,"Girl, Wash Your Face",9781400201662,17004,0,126,0,0,0,0,0,0,612,0,76,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,1587,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
/book/show/4069.Man_s_Search_for_Meaning,Viktor E. Frankl,4.36,391847,1946.0,Man's Search for Meaning,9780807014295,21072,0,0,0,0,0,0,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,5892,0,0,0,0,0,4387,0,0,0,0,5047,0,0,0,0,0,0,0,0,0,1183,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0
/book/show/615570.The_Artist_s_Way,Julia Cameron,3.91,93542,1992.0,The Artist's Way,9781585421466,2695,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,0,0,0,129,0,90,0,0,0,0,134,0,0,0,75,0,0,0,0,0,1151,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,950,0
/book/show/11468377-thinking-fast-and-slow,Daniel Kahneman,4.16,302683,2011.0,"Thinking, Fast and Slow",9780374275631,10909,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5952,0,0,0,495,0,406,0,0,0,0,5769,0,0,0,0,0,0,0,0,2014,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0
