book_title, book_reference, author_names, avg_rating, num_ratings, year_published 
The Power of Positive Thinking (Hardcover),/book/show/1134122.The_Power_of_Positive_Thinking,Norman Vincent Peale,4.15,83675,1952
The Magic of Thinking Big (Paperback),/book/show/759945.The_Magic_of_Thinking_Big,David J. Schwartz,4.24,68320,1959
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny (Paperback),/book/show/43877.The_Monk_Who_Sold_His_Ferrari,Robin S. Sharma,3.85,106336,1996
The Highly Sensitive Person: How to Thrive When the World Overwhelms You (Paperback),/book/show/923950.The_Highly_Sensitive_Person,Elaine N. Aron,3.87,29166,1996
Boundaries: When to Say Yes; How to Say No to Take Control of Your Life (Hardcover),/book/show/944267.Boundaries,Henry Cloud,4.21,50350,1992
The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life: Before 8AM (Kindle Edition),/book/show/17166225-the-miracle-morning,Hal Elrod,3.93,44377,2012
Flow: The Psychology of Optimal Experience (Paperback),/book/show/66354.Flow,Mihaly Csikszentmihalyi,4.11,54067,1990
Digital Minimalism: Choosing a Focused Life in a Noisy World (Kindle Edition),/book/show/40672036-digital-minimalism,Cal Newport,4.07,31440,2019
Unfu*k Yourself: Get Out of Your Head and Into Your Life (Kindle Edition),/book/show/32738672-unfu-k-yourself,Gary John Bishop,3.86,37196,2016
Feeling Good: The New Mood Therapy (Mass Market Paperback),/book/show/46674.Feeling_Good,David D. Burns,4.03,24430,1980
The Road Less Traveled: A New Psychology of Love; Traditional Values and Spiritual Growth (Paperback),/book/show/347852.The_Road_Less_Traveled,M. Scott Peck,4.06,83161,1978
As a Man Thinketh (Hardcover),/book/show/81959.As_a_Man_Thinketh,James Allen,4.28,57970,1902
Influence: The Psychology of Persuasion (Paperback),/book/show/28815.Influence,Robert B. Cialdini,4.19,99456,1984
You Can Heal Your Life,/book/show/129603.You_Can_Heal_Your_Life,Louise L. Hay,4.16,63058,1984
The 48 Laws of Power (Paperback),/book/show/1303.The_48_Laws_of_Power,Robert Greene,4.16,77020,1998
The Richest Man in Babylon (Paperback),/book/show/1052.The_Richest_Man_in_Babylon,George S. Clason,4.26,108129,1926
Emotional Intelligence: Why It Can Matter More Than IQ (Hardcover),/book/show/26329.Emotional_Intelligence,Daniel Goleman,4.02,81740,1995
The Untethered Soul: The Journey Beyond Yourself (Paperback),/book/show/1963638.The_Untethered_Soul,Michael A. Singer,4.21,49084,2007
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph (Hardcover),/book/show/18668059-the-obstacle-is-the-way,Ryan Holiday,4.16,40835,2014
So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love (ebook),/book/show/13525945-so-good-they-can-t-ignore-you,Cal Newport,4.11,26537,2012
Lean In: Women; Work; and the Will to Lead (Hardcover),/book/show/16071764-lean-in,Sheryl Sandberg,3.95,219935,2013
The Total Money Makeover: A Proven Plan for Financial Fitness (Hardcover),/book/show/78427.The_Total_Money_Makeover,Dave Ramsey,4.27,69517,1994
Feel the Fear and Do It Anyway (Paperback),/book/show/653396.Feel_the_Fear_and_Do_It_Anyway,Susan  Jeffers,4.03,27319,1987
The Last Lecture (Kindle Edition),/book/show/40611510-the-last-lecture,Randy Pausch,4.26,301296,2008
The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results (Hardcover),/book/show/16256798-the-one-thing,Gary Keller,4.13,43479,2013
Codependent No More: How to Stop Controlling Others and Start Caring for Yourself (Paperback),/book/show/720298.Codependent_No_More,Melody Beattie,4.15,27019,1986
Emotional Intelligence 2.0 (Hardcover),/book/show/6486483-emotional-intelligence-2-0,Travis Bradberry,3.84,70770,2003
The Power of Your Subconscious Mind (Mass Market Paperback),/book/show/68984.The_Power_of_Your_Subconscious_Mind,Joseph Murphy,4.13,44658,1963
The Art of Happiness (Hardcover),/book/show/38210.The_Art_of_Happiness,Dalai Lama XIV,4.16,92185,1998
The Tipping Point: How Little Things Can Make a Big Difference (Paperback),/book/show/2612.The_Tipping_Point,Malcolm Gladwell,3.97,684807,2000
Girl; Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals (Hardcover),/book/show/40591267-girl-stop-apologizing,Rachel Hollis,3.92,52557,2019
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World (Audiobook),/book/show/31423133-make-your-bed,William H. McRaven,3.99,60654,2017
Mastery (Hardcover),/book/show/13589182-mastery,Robert Greene,4.29,26446,2012
The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do (Hardcover),/book/show/26200068-the-life-changing-magic-of-not-giving-a-f-ck,Sarah Knight,3.44,27249,2015
The Little Book of Hygge: The Danish Way to Live Well (Hardcover),/book/show/30045683-the-little-book-of-hygge,Meik Wiking,3.75,63807,2016
Start with Why: How Great Leaders Inspire Everyone to Take Action (Hardcover),/book/show/7108725-start-with-why,Simon Sinek,4.09,118239,2009
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up (Hardcover),/book/show/25614984-spark-joy,Marie Kond\xc5\x8d,3.88,31789,2016
Drive: The Surprising Truth About What Motivates Us (Hardcover),/book/show/6452796-drive,Daniel H. Pink,3.95,93461,2009
Maybe You Should Talk to Someone: A Therapist; Her Therapist; and Our Lives Revealed (Hardcover),/book/show/37570546-maybe-you-should-talk-to-someone,Lori Gottlieb,4.37,117558,2019
Ego Is the Enemy (Hardcover),/book/show/27036528-ego-is-the-enemy,Ryan Holiday,4.16,33952,2016
Everything is F*cked: A Book About Hope (Hardcover),/book/show/43808723-everything-is-f-cked,Mark Manson,3.75,35506,2019
Switch: How to Change Things When Change Is Hard (Hardcover),/book/show/6570502-switch,Chip Heath,4.04,42165,2010
Crucial Conversations: Tools for Talking When Stakes Are High (Paperback),/book/show/15014.Crucial_Conversations,Kerry Patterson,4.04,49511,2001
I Thought It Was Just Me: Women Reclaiming Power and Courage in a Culture of Shame (Hardcover),/book/show/279308.I_Thought_It_Was_Just_Me,Bren\xc3\xa9 Brown,4.24,15355,2007
The Defining Decade: Why Your Twenties Matter\xe2\x80\x94And How to Make the Most of Them Now (Kindle Edition),/book/show/40603783-the-defining-decade,Meg Jay,4.14,32568,2012
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar (ebook),/book/show/13152194-tiny-beautiful-things,Cheryl Strayed,4.3,63804,2012
Tools of Titans: The Tactics; Routines; and Habits of Billionaires; Icons; and World-Class Performers (Kindle Edition),/book/show/31823677-tools-of-titans,Timothy Ferriss,4.11,28868,2016
Steal Like an Artist: 10 Things Nobody Told You About Being Creative (Paperback),/book/show/13099738-steal-like-an-artist,Austin Kleon,3.92,196142,2012
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys (Hardcover),/book/show/10412.He_s_Just_Not_That_Into_You,Greg Behrendt,3.66,61443,2004
Wherever You Go; There You Are: Mindfulness Meditation in Everyday Life (Paperback),/book/show/14096.Wherever_You_Go_There_You_Are,Jon Kabat-Zinn,4.12,35857,1994
Never Split the Difference (Hardcover),/book/show/26156469-never-split-the-difference,Chris Voss,4.4,55650,2016
Year of Yes (Paperback),/book/show/29540318-year-of-yes,Shonda Rhimes,4.07,63225,2015
The Compound Effect: Jumpstart Your Income; Your Life; Your Success (Kindle Edition),/book/show/9420697-the-compound-effect,Darren Hardy,4.34,26331,2010
Tuesdays with Morrie (Paperback),/book/show/6900.Tuesdays_with_Morrie,Mitch Albom,4.11,776102,1997
The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work (ebook),/book/show/9484114-the-happiness-advantage,Shawn Achor,4.18,24585,2010
Reasons to Stay Alive (Paperback),/book/show/25733573-reasons-to-stay-alive,Matt Haig,4.16,46454,2015
When Things Fall Apart: Heart Advice for Difficult Times (Paperback),/book/show/687278.When_Things_Fall_Apart,Pema Ch\xc3\xb6dr\xc3\xb6n,4.3,36090,1996
The Body Keeps the Score: Brain; Mind; and Body in the Healing of Trauma (Hardcover),/book/show/18693771-the-body-keeps-the-score,Bessel A. van der Kolk,4.49,35737,2014
The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play (Paperback),/book/show/95708.The_Now_Habit,Neil A. Fiore,3.9,13736,1988
The Gift of Fear: Survival Signals That Protect Us from Violence (Paperback),/book/show/56465.The_Gift_of_Fear,Gavin de Becker,4.18,29508,1996
The Success Principles: How to Get from Where You Are to Where You Want to Be (Paperback),/book/show/96593.The_Success_Principles,Jack Canfield,4.28,28934,2004
Option B: Facing Adversity; Building Resilience; and Finding Joy (Paperback),/book/show/32938155-option-b,Sheryl Sandberg,3.87,43690,2017
Smarter Faster Better: The Secrets of Being Productive in Life and Business (Hardcover),/book/show/25733966-smarter-faster-better,Charles Duhigg,3.93,25642,2016
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships (ebook),/book/show/35210.How_to_Talk_to_Anyone,Leil Lowndes,3.77,19923,1998
Can't Hurt Me: Master Your Mind and Defy the Odds (Kindle Edition),/book/show/41721428-can-t-hurt-me,David Goggins,4.42,53098,2018
The 5 Second Rule: Transform Your Life; Work; and Confidence with Everyday Courage (Kindle Edition),/book/show/34189313-the-5-second-rule,Mel Robbins,3.9,20089,2017
Strengths Finder 2.0 (Hardcover),/book/show/56454.Strengths_Finder_2_0,Tom Rath,3.94,47229,2007
The Courage to Be Disliked: How to Free Yourself; Change your Life and Achieve Real Happiness (Paperback),/book/show/43306206-the-courage-to-be-disliked,Ichiro Kishimi,4.11,18448,2013
You Are a Badass at Making Money: Master the Mindset of Wealth (Hardcover),/book/show/30900534-you-are-a-badass-at-making-money,Jen Sincero,3.97,15621,2017
Why We Sleep: Unlocking the Power of Sleep and Dreams (Hardcover),/book/show/34466963-why-we-sleep,Matthew Walker,4.39,71729,2017
Nonviolent Communication: A Language of Life (Paperback),/book/show/71730.Nonviolent_Communication,Marshall B. Rosenberg,4.36,18422,1999
Self-Compassion: The Proven Power of Being Kind to Yourself (Hardcover),/book/show/10127008-self-compassion,Kristin Neff,4.16,10055,2011
The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams (Hardcover),/book/show/773038.The_Seven_Spiritual_Laws_of_Success,Deepak Chopra,4.11,55106,1993
Moonwalking with Einstein: The Art and Science of Remembering Everything (Hardcover),/book/show/6346975-moonwalking-with-einstein,Joshua Foer,3.88,72933,2011
The Purpose Driven Life: What on Earth Am I Here for? (Paperback),/book/show/56495.The_Purpose_Driven_Life,Rick Warren,3.94,226554,2002
Dare to Lead (ebook),/book/show/40109367-dare-to-lead,Bren\xc3\xa9 Brown,4.16,40884,2018
Never Eat Alone: And Other Secrets to Success; One Relationship at a Time (Hardcover),/book/show/84699.Never_Eat_Alone,Keith Ferrazzi,3.86,40933,2005
How Will You Measure Your Life? (ebook),/book/show/13425570-how-will-you-measure-your-life,Clayton M. Christensen,4.08,23618,2012
First Things First (Paperback),/book/show/36071.First_Things_First,Stephen R. Covey,4.11,36288,1993
Untamed (Hardcover),/book/show/52129515-untamed,Glennon Doyle,4.17,96395,2020
The Checklist Manifesto: How to Get Things Right (Hardcover),/book/show/6667514-the-checklist-manifesto,Atul Gawande,4.05,47598,2009
Eat; Pray; Love (Paperback),/book/show/19501.Eat_Pray_Love,Elizabeth Gilbert,3.57,1465311,2006
Meditations (Paperback),/book/show/30659.Meditations,Marcus Aurelius,4.23,120863,180
Learned Optimism: How to Change Your Mind and Your Life (Paperback),/book/show/26123.Learned_Optimism,Martin E.P. Seligman,4,15834,1990
The Slight Edge (Paperback),/book/show/590652.The_Slight_Edge,Jeff Olson,4.39,17530,2005
The Power of Vulnerability: Teachings of Authenticity; Connections and Courage (Audible Audio),/book/show/23500254-the-power-of-vulnerability,Bren\xc3\xa9 Brown,4.64,15082,2013
13 Things Mentally Strong People Don't Do: Take Back Your Power; Embrace Change; Face Your Fears; and Train Your Brain for Happiness and Success (Hardcover),/book/show/23215490-13-things-mentally-strong-people-don-t-do,Amy Morin,3.87,9371,2014
Designing Your Life: Build a Life that Works for You (Paperback),/book/show/26046333-designing-your-life,Bill Burnett,3.94,11050,2016
The 7 Habits Of Highly Effective Teens (Paperback),/book/show/783127.The_7_Habits_Of_Highly_Effective_Teens,Sean Covey,4.07,29020,1997
