book_title, book_reference, author_names, avg_rating, num_ratings, year_published 
The Art of Loving (Paperback),/book/show/14142.The_Art_of_Loving,Erich Fromm,4.03,51850,1956
Healing the Shame that Binds You (Paperback),/book/show/98399.Healing_the_Shame_that_Binds_You,John Bradshaw,4.12,8497,1988
The Paradox of Choice: Why More Is Less (Paperback),/book/show/10639.The_Paradox_of_Choice,Barry Schwartz,3.86,28202,2004
Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds (Hardcover),/book/show/17910144-talk-like-ted,Carmine Gallo,3.92,11665,2014
One Small Step Can Change Your Life: The Kaizen Way (Hardcover),/book/show/266621.One_Small_Step_Can_Change_Your_Life,Robert Maurer,4.09,5579,2009
Spark: The Revolutionary New Science of Exercise and the Brain (Hardcover),/book/show/721609.Spark,John J. Ratey,4.15,10950,2008
The How of Happiness: A Scientific Approach to Getting the Life You Want (Hardcover),/book/show/2326098.The_How_of_Happiness,Sonja Lyubomirsky,3.97,7143,2007
The Proper Care and Feeding of Husbands (Paperback),/book/show/56157.The_Proper_Care_and_Feeding_of_Husbands,Laura Schlessinger,3.72,15916,2003
Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype (Mass Market Paperback),/book/show/241823.Women_Who_Run_With_the_Wolves,Clarissa Pinkola Est\xc3\xa9s,4.11,45779,1992
Mating in Captivity: Reconciling the Erotic and the Domestic (Hardcover),/book/show/27485.Mating_in_Captivity,Esther Perel,4.16,17523,2006
The Path Made Clear: Discovering Your Life's Direction and Purpose (Hardcover),/book/show/40607235-the-path-made-clear,Oprah Winfrey,4.02,9092,2019
The Celestine Prophecy (Celestine Prophecy; #1),/book/show/13103.The_Celestine_Prophecy,James Redfield,3.65,94885,1993
It's Not How Good You Are; It's How Good You Want To Be (Paperback),/book/show/114737.It_s_Not_How_Good_You_Are_It_s_How_Good_You_Want_To_Be,Paul Arden,3.7,12847,2003
It's Called a Breakup Because It's Broken: The Smart Girl's Break-Up Buddy (Paperback),/book/show/33353.It_s_Called_a_Breakup_Because_It_s_Broken,Greg Behrendt,4.01,10050,2005
Furiously Happy: A Funny Book About Horrible Things (Hardcover),/book/show/23848559-furiously-happy,Jenny  Lawson,3.91,124124,2015
The Confidence Code: The Science and Art of Self-Assurance \xe2\x80\x93 What Women Should Know (ebook),/book/show/18052969-the-confidence-code,Katty Kay,3.75,9261,2014
Managing Oneself (Paperback),/book/show/2477223.Managing_Oneself,Peter F. Drucker,4.09,8950,2007
How to Break Up with Your Phone: The 30-Day Plan to Take Back Your Life (Paperback),/book/show/35209767-how-to-break-up-with-your-phone,Catherine Price,4.02,6132,2018
How to Be Yourself: Quiet Your Inner Critic and Rise Above Social Anxiety (Hardcover),/book/show/34964986-how-to-be-yourself,Ellen Hendriksen,4.26,2651,2018
Skinny Bitch: A No-Nonsense; Tough-Love Guide for Savvy Girls Who Want to Stop Eating Crap and Start Looking Fabulous! (Paperback),/book/show/196613.Skinny_Bitch,Rory Freedman,3.35,30853,2005
Creativity; Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration (Hardcover),/book/show/18077903-creativity-inc,Ed Catmull,4.21,63862,2009
Rework (Hardcover),/book/show/6732019-rework,Jason Fried,3.95,137389,2010
Women Who Love Too Much: When You Keep Wishing and Hoping He'll Change (Paperback),/book/show/239509.Women_Who_Love_Too_Much,Robin Norwood,4.03,13364,1985
The Five Love Languages of Children (Paperback),/book/show/952.The_Five_Love_Languages_of_Children,Gary Chapman,4.2,18451,1995
Meditation for Fidgety Skeptics: A 10% Happier How-To Book (Hardcover),/book/show/34962306-meditation-for-fidgety-skeptics,Dan   Harris,3.86,5979,2017
The Life-Changing Manga of Tidying Up: A Magical Story (Kindle Edition),/book/show/34043787-the-life-changing-manga-of-tidying-up,Marie Kond\xc5\x8d,4.09,14961,2017
Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster; Remember More and be More Productive (Mental Mastery Book 1),/book/show/20958539-unlimited-memory,Kevin Horsley,3.98,17040,2014
Made to Stick: Why Some Ideas Survive and Others Die (Hardcover),/book/show/69242.Made_to_Stick,Chip Heath,3.96,73576,2006
The Anatomy of Peace: Resolving the Heart of Conflict (Paperback),/book/show/25480369-the-anatomy-of-peace,The Arbinger Institute,4.27,9573,2006
The Little Book of Talent: 52 Tips for Improving Your Skills (Hardcover),/book/show/13330702-the-little-book-of-talent,Daniel Coyle,4.09,6040,2012
Ultralearning: Master Hard Skills; Outsmart the Competition; and Accelerate Your Career (Kindle Edition),/book/show/44770129-ultralearning,Scott H. Young,4.01,5280,2019
The Drama of the Gifted Child: The Search for the True Self (Paperback),/book/show/4887.The_Drama_of_the_Gifted_Child,Alice   Miller,4.1,16526,1979
Finish: Give Yourself the Gift of Done (Kindle Edition),/book/show/35397160-finish,Jon Acuff,4.24,6627,2017
Think Like a Freak (ebook),/book/show/17331349-think-like-a-freak,Steven D. Levitt,3.85,45738,2014
Goals!: How to Get Everything You Want Faster Than You Ever Thought Possible (Paperback),/book/show/113935.Goals_,Brian Tracy,4.29,11805,1989
The Five People You Meet in Heaven (Paperback),/book/show/3431.The_Five_People_You_Meet_in_Heaven,Mitch Albom,3.94,575356,2003
Declutter Your Mind: How to Stop Worrying; Relieve Anxiety; and Eliminate Negative Thinking (Mindfulness Books Series Book 1),/book/show/31645392-declutter-your-mind,S.J. Scott,3.71,3633,2016
Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao (Hardcover),/book/show/389763.Change_Your_Thoughts_Change_Your_Life,Wayne W. Dyer,4.25,17231,2007
Tao Te Ching (Paperback),/book/show/67896.Tao_Te_Ching,Lao Tzu,4.29,115088,-600
What I Wish I Knew When I Was 20 (Hardcover),/book/show/6081261-what-i-wish-i-knew-when-i-was-20,Tina Seelig,3.91,6962,2009
The Prophet (Paperback),/book/show/2547.The_Prophet,Kahlil Gibran,4.23,232436,1923
Refuse to Choose!: Use All of Your Interests; Passions; and Hobbies to Create the Life and Career of Your Dreams (Paperback),/book/show/287818.Refuse_to_Choose_,Barbara Sher,4.09,2911,2006
The 7 Habits of Highly Effective Families (Paperback),/book/show/783128.The_7_Habits_of_Highly_Effective_Families,Stephen R. Covey,4.16,9114,1996
The Practicing Mind: Bringing Discipline and Focus into Your Life (Paperback),/book/show/335864.The_Practicing_Mind,Thomas M. Sterner,4,5792,2006
Finding Your Own North Star: Claiming the Life You Were Meant to Live (Paperback),/book/show/66140.Finding_Your_Own_North_Star,Martha N. Beck,4.07,5404,1997
The Art of Non-Conformity: Set Your Own Rules; Live the Life You Want; and Change the World (ebook),/book/show/8978488-the-art-of-non-conformity,Chris Guillebeau,3.87,9371,2014
The Code of the Extraordinary Mind: 10 Unconventional Laws to Redefine Your Life and Succeed On Your Own Terms (Hardcover),/book/show/26114571-the-code-of-the-extraordinary-mind,Vishen Lakhiani,4.11,5752,2016
Battlefield Of The Mind: Winning The Battle In Your Mind (Paperback),/book/show/254389.Battlefield_Of_The_Mind,Joyce Meyer,4.34,57445,1995
Everything Is Figureoutable (Paperback),/book/show/43706482-everything-is-figureoutable,Marie Forleo,4.1,6247,2019
TED Talks: The Official TED Guide to Public Speaking (Kindle Edition),/book/show/41044212-ted-talks,Chris J. Anderson,4.15,9023,2016
The Desire Map,/book/show/16279838-the-desire-map,Danielle LaPorte,4,6593,2012
Law of Success (Paperback),/book/show/105232.Law_of_Success,Napoleon Hill,4.41,9188,1925
The First 20 Hours: How to Learn Anything...Fast (Hardcover),/book/show/16158493-the-first-20-hours,Josh Kaufman,3.49,4950,2013
The Seat of the Soul (Hardcover),/book/show/119760.The_Seat_of_the_Soul,Gary Zukav,4.01,39967,1989
The 5 Elements of Effective Thinking (Hardcover),/book/show/14891980-the-5-elements-of-effective-thinking,Edward B. Burger,4.08,5792,2012
It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff (Hardcover),/book/show/34266.It_s_All_Too_Much,Peter Walsh,3.85,5417,2006
The Feeling Good Handbook (Paperback),/book/show/2222.The_Feeling_Good_Handbook,David D. Burns,4.01,5241,1989
The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success; Confidence and Happiness (Paperback),/book/show/12228097-the-chimp-paradox,Steve   Peters,4.02,11294,2012
The More of Less: Finding the Life You Want Under Everything You Own (Hardcover),/book/show/27036703-the-more-of-less,Joshua Becker,3.79,9358,2016
Mindfulness in Plain English (Paperback),/book/show/64369.Mindfulness_in_Plain_English,Henepola Gunaratana,4.19,12802,1992
Rich Dad's Cashflow Quadrant: Rich Dad's Guide to Financial Freedom (Paperback),/book/show/81922.Rich_Dad_s_Cashflow_Quadrant,Robert T. Kiyosaki,4.12,40133,1998
Gmorning; Gnight!: Little Pep Talks for Me & You (Kindle Edition),/book/show/40854717-gmorning-gnight,Lin-Manuel Miranda,4.33,16978,2018
The Body Is Not an Apology: The Power of Radical Self-Love (Paperback),/book/show/34956885-the-body-is-not-an-apology,Sonya Renee Taylor,4.28,4669,2018
Search Inside Yourself: The Unexpected Path to Achieving Success; Happiness (And World Peace),/book/show/12921211-search-inside-yourself,Chade-Meng Tan,4.09,6483,2012
Tiny Habits: The Small Changes That Change Everything (Hardcover),/book/show/43261127-tiny-habits,B.J. Fogg,4.15,2565,2019
First; We Make the Beast Beautiful: A New Story About Anxiety (Hardcover),/book/show/34210334-first-we-make-the-beast-beautiful,Sarah Wilson,3.83,7410,2017
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination (Hardcover),/book/show/23731881-very-good-lives,J.K. Rowling,4.18,24077,2015
How to Develop Self-Confidence And Influence People (Paperback),/book/show/4868.How_to_Develop_Self_Confidence_And_Influence_People,Dale Carnegie,4.14,4766,1905
You Can Win: A Step by Step Tool for Top Achievers (Paperback),/book/show/714711.You_Can_Win,Shiv Khera,3.9,15735,1998
Excuses Begone!: How to Change Lifelong; Self-Defeating Thinking Habits (Hardcover),/book/show/6294709-excuses-begone,Wayne W. Dyer,4.17,7582,2009
Introvert Power: Why Your Inner Life Is Your Hidden Strength (Paperback),/book/show/3260326-introvert-power,Laurie A. Helgoe,3.93,4320,2008
Mind Over Mood: Change How You Feel By Changing the Way You Think (Paperback),/book/show/108380.Mind_Over_Mood,Dennis Greenberger,4.05,3016,1995
How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness; Dying; Addiction; Depression; and Transcendence (Hardcover),/book/show/36613747-how-to-change-your-mind,Michael Pollan,4.22,40048,2018
Zen Mind; Beginner's Mind: Informal Talks on Zen Meditation and Practice (Paperback),/book/show/402843.Zen_Mind_Beginner_s_Mind,Shunryu Suzuki,4.22,35567,1970
Self Matters: Creating Your Life from the Inside Out (Hardcover),/book/show/169487.Self_Matters,Phillip C. McGraw,3.65,10772,2001
A Whole New Mind: Why Right-Brainers Will Rule the Future (Paperback),/book/show/99315.A_Whole_New_Mind,Daniel H. Pink,3.94,25802,2004
Driven to Distraction: Recognizing and Coping with Attention Deficit Disorder from Childhood Through Adulthood (Paperback),/book/show/108593.Driven_to_Distraction,Edward M. Hallowell; M.D.,4.13,8469,1992
How to Have Confidence and Power in Dealing with People (Paperback),/book/show/320817.How_to_Have_Confidence_and_Power_in_Dealing_with_People,Les Giblin,4.28,10829,1956
Games People Play (Mass Market Paperback),/book/show/49176.Games_People_Play,Eric Berne,3.81,27374,1964
Mindsight: The New Science of Personal Transformation (Hardcover),/book/show/6315775-mindsight,Daniel J. Siegel,4.15,7382,2009
The Energy Bus: 10 Rules to Fuel Your Life; Work; and Team with Positive Energy (Hardcover),/book/show/81107.The_Energy_Bus,Jon Gordon,3.88,13954,2007
Radical Candor: Be a Kickass Boss Without Losing Your Humanity (Hardcover),/book/show/29939161-radical-candor,Kim Malone Scott,4.16,18534,2017
Tu\xe1\xbb\x95i Tr\xe1\xba\xbb \xc4\x90\xc3\xa1ng Gi\xc3\xa1 Bao Nhi\xc3\xaau (Paperback),/book/show/32521178-tu-i-tr-ng-gi-bao-nhi-u,Rosie Nguy\xe1\xbb\x85n,4.31,9859,2017
When Breath Becomes Air (Kindle Edition),/book/show/25899336-when-breath-becomes-air,Paul Kalanithi,4.36,409289,2016
Organizing from the Inside Out: The Foolproof System for Organizing Your Home; Your Office and Your Life (Paperback),/book/show/220713.Organizing_from_the_Inside_Out,Julie Morgenstern,3.9,5484,1998
Turning Pro (Kindle Edition),/book/show/14912777-turning-pro,Steven Pressfield,4.21,8803,2012
How to Live on 24 Hours a Day (Paperback),/book/show/4855.How_to_Live_on_24_Hours_a_Day,Arnold Bennett,3.68,5373,1908
Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers (Paperback),/book/show/97641.Nice_Girls_Don_t_Get_the_Corner_Office,Lois P. Frankel,3.76,11795,2004
The Little Book of Lykke: The Danish Search for the World's Happiest People (Hardcover),/book/show/34879265-the-little-book-of-lykke,Meik Wiking,4.02,9809,2017
All I Really Need to Know I Learned in Kindergarten (Paperback),/book/show/34760.All_I_Really_Need_to_Know_I_Learned_in_Kindergarten,Robert Fulghum,4.03,20581,1988
Why Does He Do That?: Inside the Minds of Angry and Controlling Men (Paperback),/book/show/224552.Why_Does_He_Do_That_,Lundy Bancroft,4.5,6843,2002
The Anxiety and Phobia Workbook (Paperback),/book/show/8527134-the-anxiety-and-phobia-workbook,Edmund J. Bourne,4.17,3684,1990
Love Warrior (Hardcover),/book/show/31845516-love-warrior,Glennon Doyle Melton,4.09,51400,2016
Focus: The Hidden Driver of Excellence (Hardcover),/book/show/17349126-focus,Daniel Goleman,3.55,8895,2013
Buddha's Brain: The Practical Neuroscience of Happiness; Love; and Wisdom (Paperback),/book/show/6796675-buddha-s-brain,Rick Hanson,4.03,10089,2009
The Traveler's Gift: Seven Decisions that Determine Personal Success (Paperback),/book/show/56466.The_Traveler_s_Gift,Andy Andrews,4.11,13494,2002
The Game: Penetrating the Secret Society of Pickup Artists (Hardcover),/book/show/900.The_Game,Neil Strauss,3.74,25363,2005
How to Stop Feeling Like Sh*t: 14 Habits that Are Holding You Back from Happiness (Paperback),/book/show/35099719-how-to-stop-feeling-like-sh-t,Andrea Owen,3.73,2415,2018
Algorithms to Live By: The Computer Science of Human Decisions (Hardcover),/book/show/25666050-algorithms-to-live-by,Brian Christian,4.15,18702,2016
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease (Hardcover),/book/show/25663961-how-not-to-die,Michael Greger,4.51,21496,2015
The Upside of Stress: Why Stress Is Good for You; and How to Get Good at It (Hardcover),/book/show/23281639-the-upside-of-stress,Kelly McGonigal,4.2,3503,2012
Unf*ck Your Habitat: You're Better Than Your Mess (Hardcover),/book/show/29939402-unf-ck-your-habitat,Rachel  Hoffman,3.8,3335,2017
Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body; Better Health; and Bigger Success (Hardcover),/book/show/26114128-sleep-smarter,Shawn Stevenson,4.03,4779,2014
Failing Forward: Turning Mistakes Into Stepping Stones for Success (Hardcover),/book/show/628070.Failing_Forward,John C. Maxwell,4.29,7857,2000
The Five Dysfunctions of a Team: A Leadership Fable (Hardcover),/book/show/21343.The_Five_Dysfunctions_of_a_Team,Patrick Lencioni,4.06,78098,1998
The Language of Letting Go: Daily Meditations on Codependency (Hazelden Meditation Series),/book/show/526134.The_Language_of_Letting_Go,Melody Beattie,4.43,5826,1990
Success Through a Positive Mental Attitude (Paperback),/book/show/948213.Success_Through_a_Positive_Mental_Attitude,Napoleon Hill,4.34,7814,1960
You're Not Listening: What You're Missing and Why It Matters (Hardcover),/book/show/45892276-you-re-not-listening,Kate   Murphy,4.13,3509,2020
How Successful People Think: Change Your Thinking; Change Your Life (Hardcover),/book/show/6012533-how-successful-people-think,John C. Maxwell,4.03,7707,2003
When Bad Things Happen to Good People (Paperback),/book/show/46676.When_Bad_Things_Happen_to_Good_People,Harold S. Kushner,4.03,14502,1981
Crush It!: Why Now Is the Time to Cash In on Your Passion (Hardcover),/book/show/6474550-crush-it,Gary Vaynerchuk,3.89,27942,2009
Just Listen: Discover the Secret to Getting Through to Absolutely Anyone (Hardcover),/book/show/6547576-just-listen,Mark Goulston,4.12,6557,2009
How to Win Friends and Influence People in the Digital Age (Kindle Edition),/book/show/12176421-how-to-win-friends-and-influence-people-in-the-digital-age,Dale Carnegie,3.97,6707,2011
The Intelligent Investor (Paperback),/book/show/106835.The_Intelligent_Investor,Benjamin Graham,4.24,78385,1949
Real Happiness: A 28-Day Program to Realize the Power of Meditation (Paperback),/book/show/49913579-real-happiness,Sharon Salzberg,4.05,4172,2013
See You at the Top: 25th Anniversary Edition (Hardcover),/book/show/161415.See_You_at_the_Top,Zig Ziglar,4.27,12443,1974
Relentless: From Good to Great to Unstoppable (Paperback),/book/show/17354208-relentless,Tim S. Grover,4.02,7241,2014
Siddhartha (Mass Market Paperback),/book/show/52036.Siddhartha,Hermann Hesse,4.03,577118,1922
The Fifth Agreement: A Practical Guide to Self-Mastery (Hardcover),/book/show/6979404-the-fifth-agreement,Miguel Ruiz,4.16,7944,2009
Calm the F*ck Down: How to Control What You Can and Accept What You Can't So You Can Stop Freaking Out and Get On With Your Life (Hardcover),/book/show/40163062-calm-the-f-ck-down,Sarah Knight,3.46,3903,2018
What Got You Here Won't Get You There: How Successful People Become Even More Successful (Hardcover),/book/show/84525.What_Got_You_Here_Won_t_Get_You_There,Marshall Goldsmith,3.98,22569,2007
The Law of Attraction: The Basics of the Teachings of Abraham (Hardcover),/book/show/343614.The_Law_of_Attraction,Esther Hicks,4.14,17573,2006
Life Strategies: Doing What Works; Doing What Matters (Mass Market Paperback),/book/show/522229.Life_Strategies,Phillip C. McGraw,3.63,6283,1999
Discipline Equals Freedom: Field Manual (Kindle Edition),/book/show/34431560-discipline-equals-freedom,Jocko Willink,4.1,8076,
Reading People: How Seeing the World through the Lens of Personality Changes Everything (Kindle Edition),/book/show/34713218-reading-people,Anne Bogel,3.78,7433,2017
The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships (Paperback),/book/show/31316.The_Dance_of_Intimacy,Harriet Lerner,4.07,7891,1989
Emotional First Aid: Practical Strategies for Treating Failure; Rejection; Guilt; and Other Everyday Psychological Injuries (Hardcover),/book/show/16158512-emotional-first-aid,Guy Winch,4,1969,2013
Eat Move Sleep: How Small Choices Lead to Big Changes (Hardcover),/book/show/17465697-eat-move-sleep,Tom Rath,3.57,5570,2013
The Mindful Path to Self-Compassion: Freeing Yourself from Destructive Thoughts and Emotions (Paperback),/book/show/6265779-the-mindful-path-to-self-compassion,Christopher K. Germer,4.16,2711,2009
Finding Your Element: How to Discover Your Talents and Passions and Transform Your Life (Hardcover),/book/show/16158494-finding-your-element,Ken Robinson,3.89,4033,2013
The Marshmallow Test: Mastering Self-Control (Hardcover),/book/show/20454074-the-marshmallow-test,Walter Mischel,3.76,6004,2014
The Effective Executive: The Definitive Guide to Getting the Right Things Done (Paperback),/book/show/48019.The_Effective_Executive,Peter F. Drucker,4.09,27776,1966
Daily Rituals: How Artists Work (Hardcover),/book/show/15799151-daily-rituals,Mason Currey,3.66,14536,2013
Uninvited: Living Loved When You Feel Less Than; Left Out; and Lonely (Paperback),/book/show/27840705-uninvited,Lysa TerKeurst,4.22,22976,2016
Maximum Achievement: Strategies and Skills that Will Unlock Your Hidden Powers to Succeed (Paperback),/book/show/115613.Maximum_Achievement,Brian Tracy,4.28,3770,1993
Decluttering at the Speed of Life: Winning Your Never-Ending Battle with Stuff (ebook),/book/show/35540769-decluttering-at-the-speed-of-life,Dana K. White,4.06,4890,2018
Uninvited: Living Loved When You Feel Less Than; Left Out; and Lonely (Paperback),/book/show/27840705-uninvited,Lysa TerKeurst,4.22,22976,2016
Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment (Hardcover),/book/show/302971.Happier,Tal Ben-Shahar,3.87,5934,2007
The Easy Way to Stop Smoking: Join the Millions Who Have Become Nonsmokers Using the Easyway Method (Hardcover),/book/show/6618.The_Easy_Way_to_Stop_Smoking,Allen Carr,4.3,9330,1985
On the Shortness of Life (Paperback),/book/show/97412.On_the_Shortness_of_Life,Seneca,4.23,18242,49
Overwhelmed: Work; Love; and Play When No One Has the Time (Hardcover),/book/show/17934399-overwhelmed,Brigid Schulte,3.87,6618,2014
18 Minutes: Find Your Focus; Master Distraction; and Get the Right Things Done (Hardcover),/book/show/12138871-18-minutes,Peter Bregman,3.88,4303,2011
Broken Open: How Difficult Times Can Help Us Grow (Paperback),/book/show/126820.Broken_Open,Elizabeth Lesser,4.08,5384,2004
Reinventing Your Life: The Breakthrough Program to End Negative Behavior...and Feel Great Again (Paperback),/book/show/43866.Reinventing_Your_Life,Jeffrey E. Young,4.2,2699,1993
In the Meantime: Finding Yourself and the Love You Want (Paperback),/book/show/285070.In_the_Meantime,Iyanla Vanzant,4.2,8109,1998
The Nerdist Way: How to Reach the Next Level (In Real Life),/book/show/10723227-the-nerdist-way,Chris Hardwick,3.71,4838,2011
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It (Paperback),/book/show/81948.The_E_Myth_Revisited,Michael E. Gerber,4.02,61253,1985
Stillness Speaks (Paperback),/book/show/67864.Stillness_Speaks,Eckhart Tolle,4.29,13208,2003
Antifragile: Things That Gain from Disorder (Hardcover),/book/show/13530973-antifragile,Nassim Nicholas Taleb,4.1,34310,2012
Anatomy of the Spirit: The Seven Stages of Power and Healing (Paperback),/book/show/832543.Anatomy_of_the_Spirit,Caroline Myss,4.15,27050,1996
The Fine Art of Small Talk: How to Start a Conversation; Keep It Going; Build Networking Skills and Leave a Positive Impression! (Hardcover),/book/show/93409.The_Fine_Art_of_Small_Talk,Debra Fine,3.44,2977,1997
Six Thinking Hats (Paperback),/book/show/97030.Six_Thinking_Hats,Edward de Bono,3.76,9166,1981
Rejection Proof: How I Beat Fear and Became Invincible Through 100 Days of Rejection (Hardcover),/book/show/22747928-rejection-proof,Jia Jiang,4.14,3753,2015
The 33 Strategies of War (Hardcover),/book/show/35289.The_33_Strategies_of_War,Robert Greene,4.3,10443,2005
Anger: Wisdom for Cooling the Flames (Paperback),/book/show/95734.Anger,Thich Nhat Hanh,4.12,7359,2001
Stop Walking on Eggshells: Taking Your Life Back When Someone You Care about Has Borderline Personality Disorder (Hardcover),/book/show/188013.Stop_Walking_on_Eggshells,Paul T. Mason,4.06,6821,1998
Embrace Your Weird: Face Your Fears and Unleash Creativity (Paperback),/book/show/43822665-embrace-your-weird,Felicia Day,4.02,1438,2019
The Obesity Code: Unlocking the Secrets of Weight Loss (Paperback),/book/show/24945404-the-obesity-code,Jason Fung,4.39,17965,2016
The Rules of Life: A Personal Code for Living a Better; Happier; More Successful Life (Paperback),/book/show/232088.The_Rules_of_Life,Richard Templar,3.74,4271,2005
Stay Sexy & Don\xe2\x80\x99t Get Murdered: The Definitive How-To Guide (Kindle Edition),/book/show/41068144-stay-sexy-don-t-get-murdered,Karen Kilgariff,4.14,46060,2019
Your Best Year Ever: A 5-Step Plan for Achieving Your Most Important Goals (Hardcover),/book/show/35138433-your-best-year-ever,Michael Hyatt,4.01,3567,2018
Recovery: Freedom from Our Addictions (Hardcover),/book/show/33932358-recovery,Russell Brand,4.02,7049,2017
Carry On; Warrior: Thoughts on Life Unarmed (Hardcover),/book/show/15802944-carry-on-warrior,Glennon Doyle Melton,4.16,22690,2013
Solving the Procrastination Puzzle: A Concise Guide to Strategies for Change (Paperback),/book/show/18079767-solving-the-procrastination-puzzle,Timothy A. Pychyl,3.76,2782,2013
Running on Empty: Overcome Your Childhood Emotional Neglect (Paperback),/book/show/15812553-running-on-empty,Jonice Webb,4.22,2835,2012
Start Where You Are: A Guide to Compassionate Living (Paperback),/book/show/815715.Start_Where_You_Are,Pema Ch\xc3\xb6dr\xc3\xb6n,4.3,9670,1994
The Power of Moments: Why Certain Experiences Have Extraordinary Impact (Hardcover),/book/show/34466952-the-power-of-moments,Chip Heath,4.22,9736,2017
MONEY Master the Game: 7 Simple Steps to Financial Freedom (Hardcover),/book/show/23014006-money-master-the-game,Anthony Robbins,3.99,14359,2014
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have (Paperback),/book/show/7581.The_Book_of_Awakening,Mark Nepo,4.26,7271,1999
What Should I Do with My Life?: The True Story of People Who Answered the Ultimate Question (Mass Market Paperback),/book/show/163365.What_Should_I_Do_with_My_Life_,Po Bronson,3.69,7145,2002
Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life (Paperback),/book/show/295132.Care_of_the_Soul,Thomas  Moore,3.99,15495,1988
The Art of Living: The Classical Manual on Virtue; Happiness and Effectiveness (Paperback),/book/show/24618.The_Art_of_Living,Epictetus,4.24,14291,125
Love and Respect: The Love She Most Desires; The Respect He Desperately Needs (Hardcover),/book/show/56405.Love_and_Respect,Emerson Eggerichs,4.19,44285,2004
Love for Imperfect Things: How to Accept Yourself in a World Striving for Perfection (Hardcover),/book/show/39736045-love-for-imperfect-things,Haemin Sunim,4.25,3751,2016
The Happiness of Pursuit: Finding the Quest That Will Bring Purpose to Your Life (Hardcover),/book/show/20170321-the-happiness-of-pursuit,Chris Guillebeau,3.74,4909,2014
The Five Love Languages for Singles (Paperback),/book/show/615389.The_Five_Love_Languages_for_Singles,Gary Chapman,4.17,8711,2001
The Ethical Slut: A Guide to Infinite Sexual Possibilities (Paperback),/book/show/54944.The_Ethical_Slut,Dossie Easton,3.9,12779,1997
The Elements of Style (Hardcover),/book/show/33514.The_Elements_of_Style,William Strunk Jr.,4.17,73767,1918
The Dance of Connection: How to Talk to Someone When You're Mad; Hurt; Scared; Frustrated; Insulted; Betrayed; or Desperate (Paperback),/book/show/162431.The_Dance_of_Connection,Harriet Lerner,4.04,2254,2001
The 15 Invaluable Laws of Growth: Live Them and Reach Your Potential (Hardcover),/book/show/13529210-the-15-invaluable-laws-of-growth,John C. Maxwell,4.34,5755,2012
100 Ways to Motivate Yourself: Change Your Life Forever (Paperback),/book/show/60311.100_Ways_to_Motivate_Yourself,Steve Chandler,4.07,5801,2006
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want (Hardcover),/book/show/26266675-living-forward,Michael Hyatt,4.01,3585,2016
Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs; Bad Decisions; and Hurtful Acts,/book/show/522525.Mistakes_Were_Made_But_Not_by_Me_,Carol Tavris,4.03,22050,2007
Do What You Are : Discover the Perfect Career for You Through the Secrets of Personality Type (Paperback),/book/show/49051.Do_What_You_Are_,Paul D. Tieger,3.86,4245,1992
The Speed of Trust: The One Thing that Changes Everything (Hardcover),/book/show/36076.The_Speed_of_Trust,Stephen M.R. Covey,4,19538,2006
The Procrastination Equation: How to Stop Putting Things Off and Start Getting Stuff Done (Hardcover),/book/show/9514605-the-procrastination-equation,Piers Steel,3.84,1830,2010
How to Think Like Leonardo da Vinci: Seven Steps to Genius Every Day (Paperback),/book/show/598506.How_to_Think_Like_Leonardo_da_Vinci,Michael J. Gelb,3.87,4568,1998
Be Here Now (Kindle Edition),/book/show/41580312-be-here-now,Ram Dass,4.28,25949,1971
The Present: The Secret to Enjoying Your Work and Life; Now! (Hardcover),/book/show/60283.The_Present,Spencer Johnson,3.94,7336,1981
How to Make People Like You in 90 Seconds or Less (Hardcover),/book/show/181727.How_to_Make_People_Like_You_in_90_Seconds_or_Less,Nicholas Boothman,3.71,5196,1999
Fluent Forever: How to Learn Any Language Fast and Never Forget It (Paperback),/book/show/19661852-fluent-forever,Gabriel Wyner,4.2,6799,2014
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime! (Paperback),/book/show/18872437-the-millionaire-fastlane,M.J. DeMarco,4.36,9604,2010
